lgn,lat,temperature,wind speed,precipitation,visibility
-98.937056,36.200389,21.28,71.94,0.0001,10.0
-97.761556,35.618306,20.66,71.78,0.0001,9.9
-152.370949,58.191033,19.34,34.795,0.0079,5.26
-98.645389,44.97475,18.82,57.44,0.0006,10.0
-99.331611,36.217083,18.81,70.845,0.0001,8.56
-96.786389,37.800194,18.48,72.33500000000001,0.0001,9.88
-99.720639,45.949806,18.35,51.47,0.0021,3.49
-97.066889,38.375167,17.94,68.265,0.0001,10.0
-97.099444,36.728056,17.69,73.85,0.0001,9.98
-98.386833,36.225361,17.39,71.465,0.0001,9.57
-97.7325,46.237222,17.35,53.650000000000006,0.0003,9.89
-162.273678,60.866594,17.17,24.405,0.0,9.52
-101.705134,35.218274,16.85,70.64,0.0,10.0
-101.879639,35.219972,16.85,70.215,0.0,9.99
-162.116667,60.7,16.55,24.82,0.0,9.55
-98.584028,38.852889,16.4,70.66499999999999,0.004,9.87
-99.0205,46.338583,16.04,52.525000000000006,0.0032,9.91
-97.4,27.783333,15.89,73.37,0.0001,9.76
-95.977806,40.741694,14.91,70.325,0.0003,9.79
-97.394361,27.928,14.79,72.41,0.0001,9.63
-95.494833,46.3385,14.7,51.165,0.0009,10.0
-94.939111,46.03575,14.32,51.275000000000006,0.0017,9.83
-108.216667,43.65,13.8,53.754999999999995,0.0095,6.72
-99.611972,33.498167,13.61,72.425,0.0001,10.0
-102.9825,41.099444,13.33,52.125,0.0055,9.71
-99.798389,42.941667,13.19,54.885,0.0032,8.5
-161.938333,65.908056,13.17,15.535,0.0004,7.23
-157.713056,64.878056,13.13,24.05,0.0019,7.77
-97.324458,28.2934,12.7,71.08,0.0001,9.37
-97.028056,40.550028,12.55,70.815,0.0001,8.62
-97.036128,32.897462,12.25,70.405,0.0001,10.0
-95.794528,43.033139,12.24,68.285,0.0039,9.75
-101.937833,36.142028,12.21,67.45,0.0,9.99
-95.4695,43.274722,12.16,69.325,0.0082,8.37
-95.785972,36.267639,12.15,71.505,0.0001,9.52
-93.883333,42.066667,12.13,67.585,0.0001,8.97
-95.669278,35.956556,12.07,70.455,0.0001,9.58
-96.869472,33.084556,12.06,70.4,0.0001,10.0
-96.383139,32.920694,12.03,68.155,0.0001,9.98
-101.914611,34.56825,12.03,66.805,0.0,9.74
-95.686167,41.761,11.93,66.065,0.0002,5.4
-97.820914,31.061821,11.9,69.78,0.0001,9.86
-101.462444,45.983333,11.81,50.31,0.0007,9.97
-93.446833,41.046111,11.8,67.44,0.0003,9.17
-93.738333,40.458417,11.68,66.81,0.0003,8.0
-117.916667,38.866667,11.46,50.625,0.001,10.0
-92.668583,42.066583,11.26,67.295,0.0006,8.45
-97.533556,33.073472,11.22,69.66,0.0001,9.98
-107.9095,48.494417,11.19,53.695,0.0001,9.99
-102.140667,36.24475,11.06,64.83500000000001,0.0,10.0
-97.35,32.816667,11.0,69.655,0.0001,9.84
-93.585444,43.566222,10.96,69.455,0.0008,10.0
-93.616667,40.083333,10.92,67.18,0.0005,10.0
-102.645278,32.461111,10.72,73.99000000000001,0.0,9.99
-94.297109,36.275259,10.7,66.965,0.0001,9.75
-98.471111,32.979722,10.5,72.485,0.0001,9.83
-97.427781,32.771494,10.5,70.175,0.0001,9.97
-116.826639,44.565528,10.49,51.35,0.0001,3.72
-156.375,65.7025,10.27,27.315,0.0004,9.95
-97.154194,47.443972,10.27,53.730000000000004,0.0001,5.1
-93.135139,37.183833,10.24,66.91,0.0,6.77
-96.267403,32.709202,10.19,66.955,0.0001,9.92
-109.073889,35.670556,10.11,55.435,0.0,9.86
-95.991333,32.815194,9.98,68.415,0.0001,9.94
-95.057868,29.666706,9.95,67.225,0.0001,8.91
-103.422528,49.035167,9.7,51.894999999999996,0.0001,9.76
